ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt2942618,Dehorokkhi: The Bodyguard,2013,167 min,6.8,402,Action            ,bengali
tt2777694,Beru,2005,104 min,8.3,19,Drama            ,kannada
tt2613436,Paigham,1988,168 min,-,-,Fantasy            ,hindi
-,Akela,,-,-,-,Drama            ,hindi
tt13088566,The Rubiks game,2014,30 min,-,-,"Short, Thriller            ",malayalam
tt9053354,Anthervedam,2018,-,-,-,Thriller            ,telugu
tt13605848,Enakkul Oru Kadhal,2009,97 min,-,-,Drama            ,tamil
tt1283527,Samsara Nauka,1989,-,-,-,-,kannada
tt0248294,Patthe Bapurao,1950,143 min,-,-,-,marathi
tt0352979,Vida Parayaanmathram,1988,-,-,-,-,malayalam
tt5278634,White,I 2016,149 min,3.0,471,Romance            ,malayalam
tt0283028,Sayahnam,2000,-,7.0,10,-,malayalam
tt14045622,Preetam,2021,-,9.0,15,Romance            ,marathi
tt3952870,Britto,2014,124 min,7.5,12,Drama            ,bengali
tt0252229,Amrutha Geetham,1982,-,-,-,-,malayalam
tt4960730,Pyar Ka Jigar,2003,-,-,-,Romance            ,hindi
tt0250747,Stalin Sivadas,1999,118 min,2.7,47,"Action, Thriller            ",malayalam
tt0352287,Dheeran,1987,-,-,-,-,malayalam
tt0262446,Gopichand Jasoos,1982,150 min,5.9,123,"Comedy, Thriller            ",hindi
-,Vikrant Rona,2021,-,-,-,"Action, Adventure, Fantasy            ",kannada
tt0995840,Joy: The Real Love Story,2007,127 min,2.1,"1,601","Drama, Romance, Thriller            ",hindi
tt0104098,Dharavi,1992,120 min,7.1,282,"Crime, Drama            ",hindi
tt0280817,Kamadhenu,1976,-,-,-,-,malayalam
tt1593777,Sansarer Itikatha,1983,-,-,-,Drama            ,bengali
tt10160924,Shani Arshad: Adha Adha,2019 Video,5 min,-,-,"Short, Music            ",urdu
tt5771640,Noces,2016,98 min,7.1,"1,360",Drama            ,oriya
-,Tu Heer Main Tera Hero,2021 TV Movie,-,-,-,Comedy            ,urdu
tt1441323,Madi Veetu Ezhai,1981,-,-,-,-,tamil
tt4007298,Khoobsurat Kali,2003,-,-,-,Thriller            ,hindi
tt0246877,Puthayal,1997,144 min,5.9,51,-,tamil
tt0320701,Urimai,1985,-,-,-,-,tamil
tt0266290,Babai Abbai,1984,117 min,6.3,102,"Comedy, Romance            ",telugu
tt1217608,Yaar Meri Zindagi,2008,-,4.8,39,"Drama, Family, Musical            ",hindi
tt4912546,Denied: A Life Confined,2013 TV Movie,22 min,-,-,Documentary            ,nepali
tt1237894,Jhoomar,2007,-,6.9,7,-,oriya
tt3982578,Hututu,2014,138 min,5.0,5,Comedy            ,marathi
tt1663663,Parchhaeen,1989,-,-,-,Thriller            ,hindi
tt0231352,Chettathi,1965,-,-,-,-,kannada
tt0083063,Sharda,1981,126 min,5.5,19,"Drama, Family            ",hindi
tt10902596,Satyanweshi Byomkesh,2019,108 min,6.5,267,"Crime, Mystery, Thriller            ",bengali
tt4271912,Mahan,1996,132 min,6.0,8,"Drama, Family            ",bengali
tt2132465,Takht-O-Taj,1970,-,-,-,-,urdu
-,Death Match,II,-,-,-,"Action, Adventure, Thriller            ",nepali
tt1537032,Kanthaswamy,2009,190 min,5.0,"1,567","Action, Crime            ",tamil
tt0432188,Vishwa Thulasi,2004,-,6.1,32,"Drama, Musical, Romance            ",tamil
tt7757972,Saakshyam,2018,166 min,4.7,437,Action            ,telugu
tt3908750,Circus Queen,1959,-,-,-,Action            ,hindi
tt4489064,"Haseena: Smart, Sexy, Dangerous",2006,-,-,-,Thriller            ,hindi
tt6759286,Seemana,1996,-,8.9,8,"Action, Drama            ",nepali
tt6577668,Weather Report,2017,91 min,-,-,Drama            ,marathi
tt2522328,Shutter,2012,133 min,7.7,"1,017",Thriller            ,malayalam
tt2375283,Maithaanam,2011,125 min,5.9,7,"Drama, Family, Mystery            ",tamil
tt2317103,Sons of Ram,2012,85 min,6.6,76,"Animation, Drama, Musical            ",tamil
tt14231578,Duti Mon,2011,-,-,-,Drama            ,bengali
tt1575691,Swapna Lokam,1999,-,-,-,Romance            ,telugu
tt0376061,Pattalam,2003,159 min,5.1,316,"Action, Comedy, Drama            ",malayalam
tt14075090,The Twelve Thousand,2020,28 min,-,-,"Short, Drama            ",nepali
tt13546104,Indulekha (Malayalam),2020– ,22 min,-,-,Drama            ,malayalam
tt0240945,Sukham Sukhakaram,1994,-,-,-,-,malayalam
tt0297378,Santa,1961,-,-,-,Drama            ,telugu
tt3207826,Mullamottum Munthiricharum,2012,-,4.3,14,Drama            ,malayalam
tt1577050,Fired,I 2010,87 min,4.4,260,Horror            ,hindi
tt0225515,Dillagi,1999,188 min,5.3,"1,068","Drama, Musical, Romance            ",hindi
tt13606792,Nesi,2009,-,-,-,Drama            ,tamil
